search_id,search_date,database_or_publisher,exact_query,filters,results_returned,records_screened,included_audit_ids,excluded_count,exclusion_codes,notes
S001,2026-07-17,MDPI Photonics,"""Adaptive Routing for Meshed QKD Networks of Flexible Size Using Deep Reinforcement Learning""",Primary/official source; title identity and claim-scope verification,,1,P001,0,,"Batch 1 identity, platform, metrics-scope and latency-scope audit"
S002,2026-07-17,arXiv,"""Overview of Routing Approaches in Quantum Key Distribution Networks""",Primary/official source; title identity and claim-scope verification,,1,P002,0,,"Batch 1 identity, platform, metrics-scope and latency-scope audit"
S003,2026-07-17,Wiley/IET,"""Deep reinforcement learning-based routing and resource assignment in quantum key distribution-secured optical networks""",Primary/official source; title identity and claim-scope verification,,1,P003,0,,"Batch 1 identity, platform, metrics-scope and latency-scope audit"
S004,2026-07-17,Springer,"""A quantum key distribution routing scheme for hybrid-trusted QKD network system""",Primary/official source; title identity and claim-scope verification,,1,P004,0,,"Batch 1 identity, platform, metrics-scope and latency-scope audit"
S005,2026-07-17,MDPI Applied Sciences,"""A Dynamic-Routing Algorithm Based on a Virtual Quantum Key Distribution Network""",Primary/official source; title identity and claim-scope verification,,1,P005,0,,"Batch 1 identity, platform, metrics-scope and latency-scope audit"
S006,2026-07-17,MDPI Entropy,"""Routing Algorithm Within the Multiple Non-Overlapping Paths' Approach for Quantum Key Distribution Networks""",Primary/official source; title identity and claim-scope verification,,1,P006,0,,"Batch 1 identity, platform, metrics-scope and latency-scope audit"
S007,2026-07-17,MDPI Photonics,"""Q-Learning for Resource-Aware and Adaptive Routing in Trusted-Relay QKD Network""",Primary/official source; title identity and claim-scope verification,,1,P007,0,,"Batch 1 identity, platform, metrics-scope and latency-scope audit"
S008,2026-07-17,IEEE Xplore,"""Fast and Secure Routing Algorithms for Quantum Key Distribution Networks""",Primary/official source; title identity and claim-scope verification,,1,P008,0,,"Batch 1 identity, platform, metrics-scope and latency-scope audit"
S009,2026-07-17,MDPI Photonics,"""Dynamic Security-Aware Resource Allocation in Quantum Key Distribution-Enabled Optical Networks""",Primary/official source; title identity and claim-scope verification,,1,P009,0,,"Batch 1 identity, platform, metrics-scope and latency-scope audit"
S010,2026-07-17,IEEE Xplore,"""Routing With Minimum Activated Trusted Nodes in Quantum Key Distribution Networks for Secure Communications""",Primary/official source; title identity and claim-scope verification,,1,P010,0,,"Batch 1 identity, platform, metrics-scope and latency-scope audit"
S011,2026-07-17,Optica,"""DRL-based progressive recovery for quantum-key-distribution networks""",Primary/official source; title identity and claim-scope verification,,1,P011,0,,"Batch 1 identity, platform, metrics-scope and latency-scope audit"
S012,2026-07-17,IEEE Xplore,"""Routing, Channel, Key-Rate, and Time-Slot Assignment for QKD in Optical Networks""",Primary/official source; title identity and claim-scope verification,,1,P012,0,,"Batch 1 identity, platform, metrics-scope and latency-scope audit"
S013,2026-07-17,Nature,"""MadQCI: a heterogeneous and scalable SDN-QKD network deployed in production facilities""",Primary/official source; title identity and claim-scope verification,,1,P013,0,,"Batch 1 identity, platform, metrics-scope and latency-scope audit"
S014,2026-07-17,IEEE Xplore,"""The Evolution of Quantum Key Distribution Networks: On the Road to the Qinternet""",Primary/official source; title identity and claim-scope verification,,1,P014,0,,"Batch 1 identity, platform, metrics-scope and latency-scope audit"
S015,2026-07-17,Nature,"""Implementation of carrier-grade quantum communication networks over 10000 km""",Primary/official source; title identity and claim-scope verification,,1,P015,0,,"Batch 1 identity, platform, metrics-scope and latency-scope audit"
S016,2026-07-17,MDPI BDCC,"""A Quantum Key Distribution Routing Scheme for a Zero-Trust QKD Network System: A Moving Target Defense Approach""",Primary/official source; title identity and claim-scope verification,,1,P016,0,,"Batch 1 identity, platform, metrics-scope and latency-scope audit"
S017,2026-07-17,Nature / Scientific Reports,"""Efficient FPGA implementation of polar codes-based information reconciliation for quantum key distribution""","Primary/official source; identity, platform, metrics-scope and latency-scope verification",,1,P017,0,,"Batch 2 FPGA-component, hardware-GA and fidelity-routing audit"
S018,2026-07-17,MDPI Entropy,"""FPGA-Based Implementation of Multidimensional Reconciliation Encoding in Quantum Key Distribution""","Primary/official source; identity, platform, metrics-scope and latency-scope verification",,1,P018,0,,"Batch 2 FPGA-component, hardware-GA and fidelity-routing audit"
S019,2026-07-17,IEEE Xplore,"""Scalable QKD Postprocessing System With Reconfigurable Hardware Accelerator""","Primary/official source; identity, platform, metrics-scope and latency-scope verification",,1,P019,0,,"Batch 2 FPGA-component, hardware-GA and fidelity-routing audit"
S020,2026-07-17,IEEE Xplore,"""The Hitchhiker's Guide to FPGA-Accelerated Quantum Error Correction""","Primary/official source; identity, platform, metrics-scope and latency-scope verification",,1,P020,0,,"Batch 2 FPGA-component, hardware-GA and fidelity-routing audit"
S021,2026-07-17,ACM Digital Library,"""FPT-EMS: An FPGA Implementation Using NB-LDPC Code for Continuous-Variable Quantum Key Distribution""","Primary/official source; identity, platform, metrics-scope and latency-scope verification",,1,P021,0,,"Batch 2 FPGA-component, hardware-GA and fidelity-routing audit"
S022,2026-07-17,IEEE Xplore,"""FPGA-Based Synchronization of Frequency-Domain Interferometer for QKD""","Primary/official source; identity, platform, metrics-scope and latency-scope verification",,1,P022,0,,"Batch 2 FPGA-component, hardware-GA and fidelity-routing audit"
S023,2026-07-17,Elsevier ScienceDirect,"""A fully customizable hardware implementation for general purpose genetic algorithms""","Primary/official source; identity, platform, metrics-scope and latency-scope verification",,1,P023,0,,"Batch 2 FPGA-component, hardware-GA and fidelity-routing audit"
S024,2026-07-17,IEEE Xplore,"""Customizable FPGA IP Core Implementation of a General-Purpose Genetic Algorithm Engine""","Primary/official source; identity, platform, metrics-scope and latency-scope verification",,1,P024,0,,"Batch 2 FPGA-component, hardware-GA and fidelity-routing audit"
S025,2026-07-17,SpringerLink,"""Automated Framework for General-Purpose Genetic Algorithms in FPGAs""","Primary/official source; identity, platform, metrics-scope and latency-scope verification",,1,P025,0,,"Batch 2 FPGA-component, hardware-GA and fidelity-routing audit"
S026,2026-07-17,ACM Digital Library,"""RapidLayout: Fast Hard Block Placement of FPGA-Optimized Systolic Arrays Using Evolutionary Algorithms""","Primary/official source; identity, platform, metrics-scope and latency-scope verification",,1,P026,0,,"Batch 2 FPGA-component, hardware-GA and fidelity-routing audit"
S027,2026-07-17,SpringerLink,"""A High-Performance, Pipelined, FPGA-Based Genetic Algorithm Machine""","Primary/official source; identity, platform, metrics-scope and latency-scope verification",,1,P027,0,,"Batch 2 FPGA-component, hardware-GA and fidelity-routing audit"
