audit_id,source_xlsx_row,original_no,original_category,original_title,original_authors,original_year,original_venue,original_method_claim,original_metrics_claim,original_limitations_claim,original_relevance_claim,verified_title,verified_authors,verified_year,verified_venue,comparison_class,implementation_platform,evidence_layer,identity_status,metrics_status,latency_status,direct_source_url,doi_or_identifier,verification_scope,verification_date,corrected_method_summary,corrected_metrics_summary,corrected_limitations_summary,corrected_relevance_to_qflow,verification_status,exclusion_or_hold_reason,reviewer_notes
P001,4,1,QKD Routing Algorithms,Adaptive Routing for Meshed QKD Networks of Flexible Size Using Deep Reinforcement Learning,"Johann, T.; Kühl, S.; Pachnicke, S.",2026,Photonics (MDPI),Deep Reinforcement Learning (DRL) with Graph Attention Networks (GATs) for hop-wise routing in unknown meshed QKD networks,18.7% increase in mean key store filling levels vs. shortest-path; zero key store depletion; generalizes to unseen topologies including 14-node NSFNET,Software-based agent; millisecond inference latency; requires offline training; cannot adapt sub-millisecond to key depletion events,PRIMARY COUNTERPART. QFlow targets nanosecond hardware routing vs. this ms-latency DRL agent. Serves as baseline B4.,Adaptive Routing for Meshed QKD Networks of Flexible Size Using Deep Reinforcement Learning,Tim Johann; Sebastian Kühl; Stephan Pachnicke,2026,"Photonics 13(2), Article 198",C,CPU software; network simulation,Network simulation,Verified from publisher full text,Verified from publisher full text,Not reported for inference/decision runtime,https://www.mdpi.com/2304-6732/13/2/198,10.3390/photonics13020198,Publisher full text,2026-07-17,A GAT-based DRL agent performs hop-wise routing and generalizes across meshed QKD topologies.,"In the reported 14-node NSFNET simulation, the agent achieved up to 18.7% higher mean key-store filling than weighted shortest path and avoided key-store depletion in the evaluated case.",Simulation study; no FPGA/ASIC routing datapath and no reported inference latency.,Class C algorithmic counterpart for load-aware routing; not a raw CPU-versus-FPGA speed baseline.,Verified,,Original millisecond-latency statement is unsupported by the paper and must be removed.
P002,5,2,QKD Routing Algorithms,Overview of Routing Approaches in Quantum Key Distribution Networks,"Cvitić, I.; Peraković, D.; Pinto, A.N.",2025,arXiv 2511.15465 (submitted IEEE),"Systematic survey classifying 26 routing strategies for terrestrial, satellite, and hybrid QKD networks; categories: key-rate-aware, multi-path, RL, SDN",Key-aware dynamic algorithms reduce service rejection 25–40% vs. static SP; multi-path increases resilience but raises key consumption 30–60%,Survey paper only; no hardware implementations; all strategies operate at software/SDN level with ms latency polling,Definitively establishes gap QFlow fills: all 26 reviewed strategies are software-based. QFlow is the first hardware dataplane solution.,Overview of Routing Approaches in Quantum Key Distribution Networks,Ivan Cvitić; Dragan Peraković; Armando Nolasco Pinto,2025,arXiv:2511.15465,C,Survey/review,Survey synthesis,Verified from official arXiv record and manuscript,Abstract-level quantitative statements verified,Not reported,https://arxiv.org/abs/2511.15465,10.48550/arXiv.2511.15465,Official preprint,2026-07-17,Survey and classification of 26 QKD-routing strategies proposed from 2013 to 2024.,The abstract reports 25-40% lower service rejection for dynamic key-aware routing and 30-60% higher key consumption for multipath approaches.,Survey/preprint; it does not establish that every reviewed strategy is software or that all operate at millisecond latency.,Useful for Class C routing taxonomy and search seeds; cannot independently prove a universal hardware gap.,Verified with claim restriction,Universal 'all software' and millisecond-latency claims are not supported by the located text.,
P003,6,3,QKD Routing Algorithms,Deep Reinforcement Learning-based Routing and Resource Assignment in QKD-Secured Optical Networks,"Sharma, P.; Bhatia, V.; Prakash, S.",2023,"IET Quantum Communication, 4(4), 136–145","DRL-based RRA scheme using DQN; state = QKD lightpath occupancy; outperforms DQN, FF, RF baselines on NSFNET and UBN24 topologies",Lower blocking probability and better resource utilization vs. DQN baseline; demonstrated on 24-node US backbone network,Inference in milliseconds; training data must include quantum channel state; no hardware implementation; not fidelity-decay aware,Baseline B4 design inspiration. QFlow outperforms on latency (ns vs ms) with equal or better path quality.,Deep reinforcement learning-based routing and resource assignment in quantum key distribution-secured optical networks,Purva Sharma; Shubham Gupta; Vimal Bhatia; Shashi Prakash,2023,"IET Quantum Communication 4, 136-145",C,CPU software; network simulation,Network simulation,Verified from publisher paper,Quantitative results verified from full text,Not reported for inference/decision runtime,https://ietresearch.onlinelibrary.wiley.com/doi/10.1049/qtc2.12063,10.1049/qtc2.12063,Publisher paper/full text,2026-07-17,"A PPO-based DRL routing and resource-assignment scheme is compared with DQN, first-fit and random-fit on NSFNET and UBN24.",Reported blocking reductions versus DQN/FF/RF are 7.19%/10.11%/33.50% on NSFNET and 2.47%/3.20%/19.60% on UBN24; resource-utilization improvements are also reported.,Simulation-only RRA evaluation; no hardware routing implementation and no reported inference latency.,"Class C DRL-RRA counterpart; compare network utility only under matched traces, not timing against FPGA.",Verified,,Original workbook omitted Shubham Gupta and misdescribed the proposed agent as DQN.
P004,7,4,QKD Routing Algorithms,A Quantum Key Distribution Routing Scheme for Hybrid-Trusted QKD Network System,"Chen, L.Q.; Chen, J.Q.; Chen, Q.Y.; Zhao, Y.L.",2023,"Quantum Information Processing, 22(1), 75, Springer",Improved Yen's k-shortest-paths + greedy load-balancing; multi-path with both trusted and hybrid-trusted paths; optimizes key consumption,Feasible hybrid-trusted routing; superior load balancing and key consumption vs. single-path; simulation on 6-node network,Greedy heuristic; does not model fidelity decay; software-only; polling-based key pool awareness; not real-time,Related Work: demonstrates multi-objective QKD routing importance. QFlow adds continuous hardware fidelity tracking missing here.,A quantum key distribution routing scheme for hybrid-trusted QKD network system,Li-Quan Chen; Jing-Qi Chen; Qian-Ye Chen; Yong-Li Zhao,2023,"Quantum Information Processing 22, Article 75",C,Software algorithm; numerical simulation,Network simulation,Verified from publisher page,Method and qualitative outcome verified; no normalized numeric claim retained,Not reported,https://link.springer.com/article/10.1007/s11128-022-03825-x,10.1007/s11128-022-03825-x,Publisher metadata/abstract,2026-07-17,A routing scheme for hybrid-trusted QKD networks considers path selection and key-resource use.,"The publisher source supports comparative simulation claims, but this audit retains no cross-paper normalized percentage.",Software/simulation work; no measured hardware decision latency.,Class C multipath/hybrid-trust counterpart; motivates security- and resource-aware baselines.,Verified,,
P005,8,5,QKD Routing Algorithms,A Dynamic-Routing Algorithm Based on a Virtual Quantum Key Distribution Network,"Bi, L.; Miao, M.; Di, X.",2023,"Applied Sciences (MDPI), 13(15), 8690",Bayesian link-blocking probability + residual key pool model; combines key quantity and blocking probability for route selection; Mininet simulation,"Better congestion avoidance, reduced delay, improved QKD efficiency vs. shortest-path; dynamic QKP sizing reduces resource waste",Software-based; no fidelity model; polling interval introduces staleness; not hardware-accelerated,Demonstrates key-pool-aware routing value. QFlow's SKAG provides real-time updates vs. their periodic polling model.,A Dynamic-Routing Algorithm Based on a Virtual Quantum Key Distribution Network,Lin Bi; Minghui Miao; Xiaoqiang Di,2023,"Applied Sciences 13(15), Article 8690",C,Software algorithm; network simulation,Network simulation,Verified from publisher full text,Qualitative outcomes verified,Not reported,https://www.mdpi.com/2076-3417/13/15/8690,10.3390/app13158690,Publisher full text,2026-07-17,"Dynamic routing uses an adjustable quantum-key-pool model, residual keys and link-blocking information.",The paper reports simulation improvements in key-resource utilization and routing behavior; no cross-paper timing value is retained.,Software/simulation work; no fidelity-decay hardware or decision-runtime measurement.,Class C key-pool-aware routing counterpart.,Verified,,
P006,9,6,QKD Routing Algorithms,Routing Algorithm Within the Multiple Non-Overlapping Paths' Approach for QKD Networks,"Kiktenko, E.O.; Tayduganov, A.; Fedorov, A.K.",2024,"Entropy, 26(12), 1102, MDPI",Multiple non-overlapping paths algorithm to maximize security; path diversity prevents single-point key compromise; analytical throughput model,Maximizes security against node compromise; theoretical throughput analysis; applicable to arbitrary topologies,Ignores key fidelity decay; software routing decision; no real-time key pool state; focus on security not latency,Related Work: multi-path QKD routing context. QFlow extends to fidelity-decay-aware multi-objective optimization in hardware.,Routing Algorithm Within the Multiple Non-Overlapping Paths' Approach for Quantum Key Distribution Networks,Evgeniy O. Kiktenko; Andrey Tayduganov; Aleksey K. Fedorov,2024,"Entropy 26(12), Article 1102",C,Algorithmic model; numerical simulation,Network simulation,Verified from publisher/official manuscript,Model sizes and qualitative result verified,Not reported,https://www.mdpi.com/1099-4300/26/12/1102,10.3390/e26121102,Publisher full text/official preprint,2026-07-17,The algorithm distributes keys through multiple non-overlapping paths to reduce dependence on any single trusted node.,Testing is reported on 6-node and 10-node QKD-network models.,Algorithmic/simulation evaluation; no FPGA implementation or decision-latency result.,Class C security and path-diversity counterpart.,Verified,,
P007,10,7,QKD Routing Algorithms,Q-Learning for Resource-Aware and Adaptive Routing in Trusted-Relay QKD Networks,"Shi, Z. et al.",2025,"Photonics (MDPI), 12(10), 969","Q-learning MDP with state = {current node, destination, discretized key occupancy}; reward penalizes imbalance and key depletion",Avg delivery time ~100s vs. 170–590s for baselines; 45.8 vs 118.5 hops average delay; significant utilization improvement under heavy load,Tabular Q-learning; slow convergence; still software; ms-scale decisions; no fidelity-decay model in state space,Recent (2025) RL-routing baseline. Confirms RL routing advantages; QFlow delivers same optimization in nanoseconds via hardware.,Q-Learning for Resource-Aware and Adaptive Routing in Trusted-Relay QKD Network,Yuanchen Hao; Yuheng Xie; Wenpeng Gao; Jianjun Tang,2025,"Photonics 12(10), Article 969",C,Python software; NS-3.41 simulation,Network simulation,Verified from publisher full text,Selected full-text metrics verified,Inference runtime not reported; seconds are simulated key-delivery time,https://www.mdpi.com/2304-6732/12/10/969,10.3390/photonics12100969,Publisher full text,2026-07-17,Online tabular Q-learning selects next hops using key-resource state in an NS-3.41 QKD simulation framework.,The reported simulations show lower key-distribution time and throughput of about 34.6-61 keys/s for Q-learning under the studied settings.,"The paper's seconds-scale values are simulated end-to-end key-distribution metrics, not controller inference latency.",Class C adaptive-routing counterpart and direct conceptual motivation for H4; never compare its distribution time with FPGA kernel cycles.,Verified,,Original authors and the interpretation of seconds as decision latency were incorrect.
P008,11,8,QKD Routing Algorithms,Fast and Secure Routing Algorithms for Quantum Key Distribution Networks,"Vishnu, B.; Sinha, A.",2023,"IEEE Transactions on Communications, 71(3)",Tandem Queue Decomposition (TQD) combining UMW routing policy with QKD key generation process; stochastic key availability model,Throughput-optimal policy; achieves entire secure capacity region for unicast/multicast/anycast; polynomial-time algorithm,Theoretical throughput optimality; does not model key fidelity decay; centralized control; not hardware-accelerated,Strong theoretical baseline. QFlow's stochastic SKAG model is motivated by their Poisson key arrival model.,Fast and Secure Routing Algorithms for Quantum Key Distribution Networks,Md Shahbaz Akhtar; Krishnakumar G.; Vishnu B.; Abhishek Sinha,2023,"IEEE/ACM Transactions on Networking 31(5), 2281-2296",C,Algorithmic policy; OMNeT++ simulation,Analytical proof plus network simulation,Verified from IEEE/arXiv record,Throughput-optimality claim verified; no unsupported percentage retained,Hardware/decision latency not reported,https://ieeexplore.ieee.org/document/10051661,10.1109/TNET.2023.3246114,Publisher record and official manuscript,2026-07-17,Tandem Queue Decomposition combines stochastic QKD key availability with a throughput-optimal routing formulation.,The paper proves throughput optimality for the stated model and evaluates competitiveness using OMNeT++ simulation.,No FPGA implementation and no hardware decision-latency measurement.,Strong Class C theoretical/algorithmic counterpart; the original workbook authorship was incomplete.,Verified,,
P009,12,9,QKD Routing Algorithms,Dynamic Security-Aware Resource Allocation in QKD-Enabled Optical Networks,"Chen, Y. et al.",2025,"Photonics (MDPI), 12(7), 645","D-SQRA: heuristic that jointly solves routing, wavelength, and time-slot assignment while dynamically adjusting security levels per network load",Lower blocking probability than F-SQRA and B-QRA; adaptive security level reduces unnecessary key consumption under light load,Heuristic; offline optimization; no hardware dataplane; security level adaptation not real-time,Recent QKD resource allocation. QFlow unifies routing + scheduling + key management in hardware at nanosecond scale.,Dynamic Security-Aware Resource Allocation in Quantum Key Distribution-Enabled Optical Networks,Vimal Bhatia; Adolph Kasegenya; Bowen Chen,2025,"Photonics 12(7), Article 645",C,Software heuristic; network simulation,Network simulation,Verified from publisher full text,Qualitative comparison verified,Not reported,https://www.mdpi.com/2304-6732/12/7/645,10.3390/photonics12070645,Publisher full text,2026-07-17,"Two D-SQRA heuristics jointly consider route, wavelength, time slot and adaptive security level.",The authors report reduced blocking and improved resource/security metrics on NSFNET and UBN24; this audit retains no unsourced cross-paper percentage.,Simulation study; no hardware dataplane or measured routing-decision latency.,Class C security-aware resource-allocation counterpart.,Verified,,Original workbook authors were incorrect.
P010,13,10,QKD Routing Algorithms,Routing with Minimum Activated Trusted Nodes in QKD Networks,"Kong, P.Y.",2024,"IEEE Internet of Things Journal, 11(9), 15219–15228",ILP formulation minimizing number of activated trusted relay nodes while satisfying key rate and security constraints,Optimal trusted node activation reduces cost 20–35%; applicable to large-scale IoT-integrated QKD networks,ILP solver; exponential worst-case complexity; no fidelity model; software-only; not applicable to real-time routing,Motivates trusted-node-aware routing. QFlow handles this implicitly via SKAG composite weights.,Routing With Minimum Activated Trusted Nodes in Quantum Key Distribution Networks for Secure Communications,Peng Yong Kong,2024,"IEEE Internet of Things Journal 11(9), 15219-15228",C,Optimization algorithm; numerical evaluation,Algorithmic/numerical evaluation,Verified from IEEE and institutional record,Qualitative comparison verified; original 20-35% claim not retained,Not reported,https://ieeexplore.ieee.org/document/10380212,10.1109/JIOT.2024.3349476,Publisher/institutional metadata and abstract,2026-07-17,The optimization selects routes that minimize activated trusted nodes while meeting secret-key-rate requirements.,Evaluation reports fewer activated trusted nodes than a shortest-path benchmark; the workbook's 20-35% value was not verified and is removed.,Optimization/evaluation study; no FPGA implementation or decision-latency result.,Class C trusted-node-aware routing counterpart.,Verified,,
