row_index,test_id,field,golden,physical,match
0,0,test_id,0,0,PASS
0,0,policy_id,0,0,PASS
0,0,state_id,0,0,PASS
0,0,profile_id,0,0,PASS
0,0,selected_path,0,0,PASS
0,0,score,0,0,PASS
0,0,bottleneck_fidelity,62000,62000,PASS
0,0,cycles,2,2,PASS
0,0,status,0,0,PASS
1,1,test_id,1,1,PASS
1,1,policy_id,0,0,PASS
1,1,state_id,0,0,PASS
1,1,profile_id,0,0,PASS
1,1,selected_path,1,1,PASS
1,1,score,0,0,PASS
1,1,bottleneck_fidelity,62000,62000,PASS
1,1,cycles,2,2,PASS
1,1,status,0,0,PASS
2,2,test_id,2,2,PASS
2,2,policy_id,0,0,PASS
2,2,state_id,0,0,PASS
2,2,profile_id,0,0,PASS
2,2,selected_path,1,1,PASS
2,2,score,0,0,PASS
2,2,bottleneck_fidelity,62000,62000,PASS
2,2,cycles,2,2,PASS
2,2,status,0,0,PASS
3,3,test_id,3,3,PASS
3,3,policy_id,0,0,PASS
3,3,state_id,0,0,PASS
3,3,profile_id,0,0,PASS
3,3,selected_path,255,255,PASS
3,3,score,0,0,PASS
3,3,bottleneck_fidelity,0,0,PASS
3,3,cycles,2,2,PASS
3,3,status,1,1,PASS
4,4,test_id,4,4,PASS
4,4,policy_id,0,0,PASS
4,4,state_id,0,0,PASS
4,4,profile_id,0,0,PASS
4,4,selected_path,255,255,PASS
4,4,score,0,0,PASS
4,4,bottleneck_fidelity,0,0,PASS
4,4,cycles,1,1,PASS
4,4,status,2,2,PASS
5,5,test_id,5,5,PASS
5,5,policy_id,0,0,PASS
5,5,state_id,0,0,PASS
5,5,profile_id,0,0,PASS
5,5,selected_path,0,0,PASS
5,5,score,0,0,PASS
5,5,bottleneck_fidelity,62000,62000,PASS
5,5,cycles,2,2,PASS
5,5,status,0,0,PASS
6,6,test_id,6,6,PASS
6,6,policy_id,0,0,PASS
6,6,state_id,80,80,PASS
6,6,profile_id,0,0,PASS
6,6,selected_path,0,0,PASS
6,6,score,0,0,PASS
6,6,bottleneck_fidelity,62000,62000,PASS
6,6,cycles,2,2,PASS
6,6,status,0,0,PASS
7,7,test_id,7,7,PASS
7,7,policy_id,0,0,PASS
7,7,state_id,98,98,PASS
7,7,profile_id,0,0,PASS
7,7,selected_path,0,0,PASS
7,7,score,0,0,PASS
7,7,bottleneck_fidelity,62000,62000,PASS
7,7,cycles,2,2,PASS
7,7,status,0,0,PASS
8,8,test_id,8,8,PASS
8,8,policy_id,0,0,PASS
8,8,state_id,173,173,PASS
8,8,profile_id,0,0,PASS
8,8,selected_path,0,0,PASS
8,8,score,0,0,PASS
8,8,bottleneck_fidelity,62000,62000,PASS
8,8,cycles,2,2,PASS
8,8,status,0,0,PASS
9,9,test_id,9,9,PASS
9,9,policy_id,0,0,PASS
9,9,state_id,164,164,PASS
9,9,profile_id,0,0,PASS
9,9,selected_path,0,0,PASS
9,9,score,0,0,PASS
9,9,bottleneck_fidelity,62000,62000,PASS
9,9,cycles,2,2,PASS
9,9,status,0,0,PASS
10,10,test_id,10,10,PASS
10,10,policy_id,0,0,PASS
10,10,state_id,0,0,PASS
10,10,profile_id,0,0,PASS
10,10,selected_path,0,0,PASS
10,10,score,0,0,PASS
10,10,bottleneck_fidelity,62000,62000,PASS
10,10,cycles,2,2,PASS
10,10,status,0,0,PASS
11,11,test_id,11,11,PASS
11,11,policy_id,0,0,PASS
11,11,state_id,25,25,PASS
11,11,profile_id,0,0,PASS
11,11,selected_path,0,0,PASS
11,11,score,0,0,PASS
11,11,bottleneck_fidelity,62000,62000,PASS
11,11,cycles,2,2,PASS
11,11,status,0,0,PASS
12,12,test_id,12,12,PASS
12,12,policy_id,0,0,PASS
12,12,state_id,25,25,PASS
12,12,profile_id,0,0,PASS
12,12,selected_path,0,0,PASS
12,12,score,0,0,PASS
12,12,bottleneck_fidelity,62000,62000,PASS
12,12,cycles,2,2,PASS
12,12,status,0,0,PASS
13,13,test_id,13,13,PASS
13,13,policy_id,0,0,PASS
13,13,state_id,25,25,PASS
13,13,profile_id,0,0,PASS
13,13,selected_path,0,0,PASS
13,13,score,0,0,PASS
13,13,bottleneck_fidelity,62000,62000,PASS
13,13,cycles,2,2,PASS
13,13,status,0,0,PASS
14,14,test_id,14,14,PASS
14,14,policy_id,0,0,PASS
14,14,state_id,17,17,PASS
14,14,profile_id,0,0,PASS
14,14,selected_path,0,0,PASS
14,14,score,0,0,PASS
14,14,bottleneck_fidelity,62000,62000,PASS
14,14,cycles,2,2,PASS
14,14,status,0,0,PASS
15,15,test_id,15,15,PASS
15,15,policy_id,0,0,PASS
15,15,state_id,17,17,PASS
15,15,profile_id,0,0,PASS
15,15,selected_path,0,0,PASS
15,15,score,0,0,PASS
15,15,bottleneck_fidelity,62000,62000,PASS
15,15,cycles,2,2,PASS
15,15,status,0,0,PASS
16,16,test_id,16,16,PASS
16,16,policy_id,0,0,PASS
16,16,state_id,17,17,PASS
16,16,profile_id,0,0,PASS
16,16,selected_path,0,0,PASS
16,16,score,0,0,PASS
16,16,bottleneck_fidelity,62000,62000,PASS
16,16,cycles,2,2,PASS
16,16,status,0,0,PASS
17,17,test_id,17,17,PASS
17,17,policy_id,0,0,PASS
17,17,state_id,104,104,PASS
17,17,profile_id,0,0,PASS
17,17,selected_path,0,0,PASS
17,17,score,0,0,PASS
17,17,bottleneck_fidelity,62000,62000,PASS
17,17,cycles,2,2,PASS
17,17,status,0,0,PASS
18,18,test_id,18,18,PASS
18,18,policy_id,0,0,PASS
18,18,state_id,104,104,PASS
18,18,profile_id,0,0,PASS
18,18,selected_path,0,0,PASS
18,18,score,0,0,PASS
18,18,bottleneck_fidelity,62000,62000,PASS
18,18,cycles,2,2,PASS
18,18,status,0,0,PASS
19,19,test_id,19,19,PASS
19,19,policy_id,0,0,PASS
19,19,state_id,104,104,PASS
19,19,profile_id,0,0,PASS
19,19,selected_path,0,0,PASS
19,19,score,0,0,PASS
19,19,bottleneck_fidelity,62000,62000,PASS
19,19,cycles,2,2,PASS
19,19,status,0,0,PASS
20,1000,test_id,1000,1000,PASS
20,1000,policy_id,0,0,PASS
20,1000,state_id,40,40,PASS
20,1000,profile_id,0,0,PASS
20,1000,selected_path,0,0,PASS
20,1000,score,0,0,PASS
20,1000,bottleneck_fidelity,61286,61286,PASS
20,1000,cycles,2,2,PASS
20,1000,status,0,0,PASS
21,1001,test_id,1001,1001,PASS
21,1001,policy_id,0,0,PASS
21,1001,state_id,36,36,PASS
21,1001,profile_id,0,0,PASS
21,1001,selected_path,0,0,PASS
21,1001,score,0,0,PASS
21,1001,bottleneck_fidelity,62212,62212,PASS
21,1001,cycles,2,2,PASS
21,1001,status,0,0,PASS
22,1002,test_id,1002,1002,PASS
22,1002,policy_id,0,0,PASS
22,1002,state_id,100,100,PASS
22,1002,profile_id,0,0,PASS
22,1002,selected_path,1,1,PASS
22,1002,score,0,0,PASS
22,1002,bottleneck_fidelity,61275,61275,PASS
22,1002,cycles,2,2,PASS
22,1002,status,0,0,PASS
23,1003,test_id,1003,1003,PASS
23,1003,policy_id,0,0,PASS
23,1003,state_id,100,100,PASS
23,1003,profile_id,0,0,PASS
23,1003,selected_path,0,0,PASS
23,1003,score,0,0,PASS
23,1003,bottleneck_fidelity,61520,61520,PASS
23,1003,cycles,2,2,PASS
23,1003,status,0,0,PASS
24,1004,test_id,1004,1004,PASS
24,1004,policy_id,0,0,PASS
24,1004,state_id,54,54,PASS
24,1004,profile_id,0,0,PASS
24,1004,selected_path,0,0,PASS
24,1004,score,0,0,PASS
24,1004,bottleneck_fidelity,62449,62449,PASS
24,1004,cycles,2,2,PASS
24,1004,status,0,0,PASS
25,1005,test_id,1005,1005,PASS
25,1005,policy_id,0,0,PASS
25,1005,state_id,117,117,PASS
25,1005,profile_id,0,0,PASS
25,1005,selected_path,0,0,PASS
25,1005,score,0,0,PASS
25,1005,bottleneck_fidelity,63702,63702,PASS
25,1005,cycles,2,2,PASS
25,1005,status,0,0,PASS
26,1006,test_id,1006,1006,PASS
26,1006,policy_id,0,0,PASS
26,1006,state_id,37,37,PASS
26,1006,profile_id,0,0,PASS
26,1006,selected_path,0,0,PASS
26,1006,score,0,0,PASS
26,1006,bottleneck_fidelity,63058,63058,PASS
26,1006,cycles,2,2,PASS
26,1006,status,0,0,PASS
27,1007,test_id,1007,1007,PASS
27,1007,policy_id,0,0,PASS
27,1007,state_id,166,166,PASS
27,1007,profile_id,0,0,PASS
27,1007,selected_path,255,255,PASS
27,1007,score,0,0,PASS
27,1007,bottleneck_fidelity,0,0,PASS
27,1007,cycles,2,2,PASS
