audit_id,source_xlsx_row,original_no,original_category,original_title,original_authors,original_year,original_venue,original_method_claim,original_metrics_claim,original_limitations_claim,original_relevance_claim,comparison_class,implementation_platform,evidence_layer,identity_status,metrics_status,latency_status,direct_source_url,doi_or_identifier,verification_scope,verification_date,corrected_method_summary,corrected_metrics_summary,corrected_limitations_summary,corrected_relevance_to_qflow,verification_status,exclusion_or_hold_reason,reviewer_notes
P001,4,1,QKD Routing Algorithms,Adaptive Routing for Meshed QKD Networks of Flexible Size Using Deep Reinforcement Learning,"Johann, T.; Kühl, S.; Pachnicke, S.",2026,Photonics (MDPI),Deep Reinforcement Learning (DRL) with Graph Attention Networks (GATs) for hop-wise routing in unknown meshed QKD networks,18.7% increase in mean key store filling levels vs. shortest-path; zero key store depletion; generalizes to unseen topologies including 14-node NSFNET,Software-based agent; millisecond inference latency; requires offline training; cannot adapt sub-millisecond to key depletion events,PRIMARY COUNTERPART. QFlow targets nanosecond hardware routing vs. this ms-latency DRL agent. Serves as baseline B4.,,,,,,,,,,,,,Pending,,
P002,5,2,QKD Routing Algorithms,Overview of Routing Approaches in Quantum Key Distribution Networks,"Cvitić, I.; Peraković, D.; Pinto, A.N.",2025,arXiv 2511.15465 (submitted IEEE),"Systematic survey classifying 26 routing strategies for terrestrial, satellite, and hybrid QKD networks; categories: key-rate-aware, multi-path, RL, SDN",Key-aware dynamic algorithms reduce service rejection 25–40% vs. static SP; multi-path increases resilience but raises key consumption 30–60%,Survey paper only; no hardware implementations; all strategies operate at software/SDN level with ms latency polling,Definitively establishes gap QFlow fills: all 26 reviewed strategies are software-based. QFlow is the first hardware dataplane solution.,,,,,,,,,,,,,Pending,,
P003,6,3,QKD Routing Algorithms,Deep Reinforcement Learning-based Routing and Resource Assignment in QKD-Secured Optical Networks,"Sharma, P.; Bhatia, V.; Prakash, S.",2023,"IET Quantum Communication, 4(4), 136–145","DRL-based RRA scheme using DQN; state = QKD lightpath occupancy; outperforms DQN, FF, RF baselines on NSFNET and UBN24 topologies",Lower blocking probability and better resource utilization vs. DQN baseline; demonstrated on 24-node US backbone network,Inference in milliseconds; training data must include quantum channel state; no hardware implementation; not fidelity-decay aware,Baseline B4 design inspiration. QFlow outperforms on latency (ns vs ms) with equal or better path quality.,,,,,,,,,,,,,Pending,,
P004,7,4,QKD Routing Algorithms,A Quantum Key Distribution Routing Scheme for Hybrid-Trusted QKD Network System,"Chen, L.Q.; Chen, J.Q.; Chen, Q.Y.; Zhao, Y.L.",2023,"Quantum Information Processing, 22(1), 75, Springer",Improved Yen's k-shortest-paths + greedy load-balancing; multi-path with both trusted and hybrid-trusted paths; optimizes key consumption,Feasible hybrid-trusted routing; superior load balancing and key consumption vs. single-path; simulation on 6-node network,Greedy heuristic; does not model fidelity decay; software-only; polling-based key pool awareness; not real-time,Related Work: demonstrates multi-objective QKD routing importance. QFlow adds continuous hardware fidelity tracking missing here.,,,,,,,,,,,,,Pending,,
P005,8,5,QKD Routing Algorithms,A Dynamic-Routing Algorithm Based on a Virtual Quantum Key Distribution Network,"Bi, L.; Miao, M.; Di, X.",2023,"Applied Sciences (MDPI), 13(15), 8690",Bayesian link-blocking probability + residual key pool model; combines key quantity and blocking probability for route selection; Mininet simulation,"Better congestion avoidance, reduced delay, improved QKD efficiency vs. shortest-path; dynamic QKP sizing reduces resource waste",Software-based; no fidelity model; polling interval introduces staleness; not hardware-accelerated,Demonstrates key-pool-aware routing value. QFlow's SKAG provides real-time updates vs. their periodic polling model.,,,,,,,,,,,,,Pending,,
P006,9,6,QKD Routing Algorithms,Routing Algorithm Within the Multiple Non-Overlapping Paths' Approach for QKD Networks,"Kiktenko, E.O.; Tayduganov, A.; Fedorov, A.K.",2024,"Entropy, 26(12), 1102, MDPI",Multiple non-overlapping paths algorithm to maximize security; path diversity prevents single-point key compromise; analytical throughput model,Maximizes security against node compromise; theoretical throughput analysis; applicable to arbitrary topologies,Ignores key fidelity decay; software routing decision; no real-time key pool state; focus on security not latency,Related Work: multi-path QKD routing context. QFlow extends to fidelity-decay-aware multi-objective optimization in hardware.,,,,,,,,,,,,,Pending,,
P007,10,7,QKD Routing Algorithms,Q-Learning for Resource-Aware and Adaptive Routing in Trusted-Relay QKD Networks,"Shi, Z. et al.",2025,"Photonics (MDPI), 12(10), 969","Q-learning MDP with state = {current node, destination, discretized key occupancy}; reward penalizes imbalance and key depletion",Avg delivery time ~100s vs. 170–590s for baselines; 45.8 vs 118.5 hops average delay; significant utilization improvement under heavy load,Tabular Q-learning; slow convergence; still software; ms-scale decisions; no fidelity-decay model in state space,Recent (2025) RL-routing baseline. Confirms RL routing advantages; QFlow delivers same optimization in nanoseconds via hardware.,,,,,,,,,,,,,Pending,,
P008,11,8,QKD Routing Algorithms,Fast and Secure Routing Algorithms for Quantum Key Distribution Networks,"Vishnu, B.; Sinha, A.",2023,"IEEE Transactions on Communications, 71(3)",Tandem Queue Decomposition (TQD) combining UMW routing policy with QKD key generation process; stochastic key availability model,Throughput-optimal policy; achieves entire secure capacity region for unicast/multicast/anycast; polynomial-time algorithm,Theoretical throughput optimality; does not model key fidelity decay; centralized control; not hardware-accelerated,Strong theoretical baseline. QFlow's stochastic SKAG model is motivated by their Poisson key arrival model.,,,,,,,,,,,,,Pending,,
P009,12,9,QKD Routing Algorithms,Dynamic Security-Aware Resource Allocation in QKD-Enabled Optical Networks,"Chen, Y. et al.",2025,"Photonics (MDPI), 12(7), 645","D-SQRA: heuristic that jointly solves routing, wavelength, and time-slot assignment while dynamically adjusting security levels per network load",Lower blocking probability than F-SQRA and B-QRA; adaptive security level reduces unnecessary key consumption under light load,Heuristic; offline optimization; no hardware dataplane; security level adaptation not real-time,Recent QKD resource allocation. QFlow unifies routing + scheduling + key management in hardware at nanosecond scale.,,,,,,,,,,,,,Pending,,
P010,13,10,QKD Routing Algorithms,Routing with Minimum Activated Trusted Nodes in QKD Networks,"Kong, P.Y.",2024,"IEEE Internet of Things Journal, 11(9), 15219–15228",ILP formulation minimizing number of activated trusted relay nodes while satisfying key rate and security constraints,Optimal trusted node activation reduces cost 20–35%; applicable to large-scale IoT-integrated QKD networks,ILP solver; exponential worst-case complexity; no fidelity model; software-only; not applicable to real-time routing,Motivates trusted-node-aware routing. QFlow handles this implicitly via SKAG composite weights.,,,,,,,,,,,,,Pending,,
P011,14,11,QKD Routing Algorithms,DRL-based Progressive Recovery for Quantum-Key-Distribution Networks,"Li, M.; Zhang, Q.; Gatto, A.; Bregni, S.; Verticale, G.; Tornatore, M.",2024,"Journal of Optical Communications and Networking, 16(4), E36–E47",DRL for progressive QKD network recovery after failures; trains on simulated QKD network failures; considers key availability during recovery,Faster recovery than static methods; maintains >90% throughput during recovery; evaluated on NSFNET,Recovery scenario only; not for baseline routing; ms latency; no fidelity decay modeling,Extends DRL routing to fault-tolerance. QFlow's SKAG naturally handles link failures (edge weight → infinity).,,,,,,,,,,,,,Pending,,
P012,15,12,QKD Routing Algorithms,"Routing, Channel, Key-Rate, and Time-Slot Assignment for QKD in Optical Networks","Zhang, Q.; Ayoub, O.; Gatto, A.; Wu, J.; Musumeci, F.; Tornatore, M.",2023,"IEEE Transactions on Network and Service Management, 21(1), 148–160","Joint RCKTA problem formulation as ILP; considers routing, wavelength channel, key-rate, and time-slot simultaneously",Near-optimal joint assignment; significant improvement over separate optimization; validated on COST239 topology,ILP: NP-hard; offline solver; cannot handle real-time key depletion; no fidelity-decay model,Multi-dimensional QKD resource allocation framework. QFlow's SKAG captures similar dimensions but in real-time hardware.,,,,,,,,,,,,,Pending,,
P013,17,13,SDN-QKD Networks,MadQCI: A Heterogeneous and Scalable SDN-QKD Network Deployed in Production Facilities,"Martin, V.; Brito, J.P.; Ortíz, L. et al. (EU Consortium)",2024,"npj Quantum Information, 10(1), Article 80, Nature","SDN-controlled multi-vendor QKD network (28 QKD modules, 9 nodes, 45 links); FPGA-based SoC for signal processing; ETSI QKD 015 standard","Supports 1,230 key requests/s; 0.15ms latency for 5G use case; 500 Mbps encrypted throughput for e-health; production-grade deployment","FPGA used only for physical-layer signal processing (DSP, error correction); routing decisions remain in SDN controller (software); no fidelity-decay aware routing",CRITICAL REFERENCE. Demonstrates real-world SDN-QKD viability. QFlow addresses exactly the SDN controller bottleneck: moves routing to hardware dataplane.,,,,,,,,,,,,,Pending,,
P014,18,14,SDN-QKD Networks,The Evolution of Quantum Key Distribution Networks: On the Road to the Qinternet,"Cao, Y.; Zhao, Y.; Wang, Q.; Zhang, J.; Ng, S.X.; Hanzo, L.",2022,"IEEE Communications Surveys & Tutorials, 24(2), 839–894","Comprehensive survey of QKD network evolution: key management, routing protocols, SDN integration, trusted-node architectures, future quantum internet",Identifies key management as central challenge; SDN as dominant paradigm; routing latency bottleneck at SDN controller,Survey only; identifies hardware acceleration gap but provides no solution; ms-latency SDN assumed throughout,Foundational reference for QKD network architecture. Confirms SDN controller latency bottleneck that QFlow solves.,,,,,,,,,,,,,Pending,,
