case_id,category,rst,en,state_id,expected_valid,expected_proposed_action,notes
0,reset,1,1,255,0,0,reset dominates enable and address
1,all_256_states,0,1,0,1,0,exact frozen state-major policy lookup
2,all_256_states,0,1,1,1,0,exact frozen state-major policy lookup
3,all_256_states,0,1,2,1,0,exact frozen state-major policy lookup
4,all_256_states,0,1,3,1,0,exact frozen state-major policy lookup
5,all_256_states,0,1,4,1,0,exact frozen state-major policy lookup
6,all_256_states,0,1,5,1,0,exact frozen state-major policy lookup
7,all_256_states,0,1,6,1,0,exact frozen state-major policy lookup
8,all_256_states,0,1,7,1,0,exact frozen state-major policy lookup
9,all_256_states,0,1,8,1,0,exact frozen state-major policy lookup
10,all_256_states,0,1,9,1,0,exact frozen state-major policy lookup
11,all_256_states,0,1,10,1,0,exact frozen state-major policy lookup
12,all_256_states,0,1,11,1,0,exact frozen state-major policy lookup
13,all_256_states,0,1,12,1,0,exact frozen state-major policy lookup
14,all_256_states,0,1,13,1,0,exact frozen state-major policy lookup
15,all_256_states,0,1,14,1,0,exact frozen state-major policy lookup
16,all_256_states,0,1,15,1,0,exact frozen state-major policy lookup
17,all_256_states,0,1,16,1,0,exact frozen state-major policy lookup
18,all_256_states,0,1,17,1,2,exact frozen state-major policy lookup
19,all_256_states,0,1,18,1,0,exact frozen state-major policy lookup
20,all_256_states,0,1,19,1,2,exact frozen state-major policy lookup
21,all_256_states,0,1,20,1,0,exact frozen state-major policy lookup
22,all_256_states,0,1,21,1,2,exact frozen state-major policy lookup
23,all_256_states,0,1,22,1,0,exact frozen state-major policy lookup
24,all_256_states,0,1,23,1,2,exact frozen state-major policy lookup
25,all_256_states,0,1,24,1,0,exact frozen state-major policy lookup
26,all_256_states,0,1,25,1,1,exact frozen state-major policy lookup
27,all_256_states,0,1,26,1,0,exact frozen state-major policy lookup
28,all_256_states,0,1,27,1,2,exact frozen state-major policy lookup
29,all_256_states,0,1,28,1,0,exact frozen state-major policy lookup
30,all_256_states,0,1,29,1,2,exact frozen state-major policy lookup
31,all_256_states,0,1,30,1,0,exact frozen state-major policy lookup
32,all_256_states,0,1,31,1,2,exact frozen state-major policy lookup
33,all_256_states,0,1,32,1,0,exact frozen state-major policy lookup
34,all_256_states,0,1,33,1,0,exact frozen state-major policy lookup
35,all_256_states,0,1,34,1,0,exact frozen state-major policy lookup
36,all_256_states,0,1,35,1,0,exact frozen state-major policy lookup
37,all_256_states,0,1,36,1,0,exact frozen state-major policy lookup
38,all_256_states,0,1,37,1,0,exact frozen state-major policy lookup
39,all_256_states,0,1,38,1,0,exact frozen state-major policy lookup
40,all_256_states,0,1,39,1,0,exact frozen state-major policy lookup
41,all_256_states,0,1,40,1,0,exact frozen state-major policy lookup
42,all_256_states,0,1,41,1,0,exact frozen state-major policy lookup
43,all_256_states,0,1,42,1,0,exact frozen state-major policy lookup
44,all_256_states,0,1,43,1,0,exact frozen state-major policy lookup
45,all_256_states,0,1,44,1,0,exact frozen state-major policy lookup
46,all_256_states,0,1,45,1,0,exact frozen state-major policy lookup
47,all_256_states,0,1,46,1,0,exact frozen state-major policy lookup
48,all_256_states,0,1,47,1,0,exact frozen state-major policy lookup
49,all_256_states,0,1,48,1,0,exact frozen state-major policy lookup
50,all_256_states,0,1,49,1,0,exact frozen state-major policy lookup
51,all_256_states,0,1,50,1,0,exact frozen state-major policy lookup
52,all_256_states,0,1,51,1,0,exact frozen state-major policy lookup
53,all_256_states,0,1,52,1,0,exact frozen state-major policy lookup
54,all_256_states,0,1,53,1,0,exact frozen state-major policy lookup
55,all_256_states,0,1,54,1,0,exact frozen state-major policy lookup
56,all_256_states,0,1,55,1,0,exact frozen state-major policy lookup
57,all_256_states,0,1,56,1,0,exact frozen state-major policy lookup
58,all_256_states,0,1,57,1,0,exact frozen state-major policy lookup
59,all_256_states,0,1,58,1,0,exact frozen state-major policy lookup
60,all_256_states,0,1,59,1,0,exact frozen state-major policy lookup
61,all_256_states,0,1,60,1,0,exact frozen state-major policy lookup
62,all_256_states,0,1,61,1,0,exact frozen state-major policy lookup
63,all_256_states,0,1,62,1,0,exact frozen state-major policy lookup
64,all_256_states,0,1,63,1,1,exact frozen state-major policy lookup
65,all_256_states,0,1,64,1,0,exact frozen state-major policy lookup
66,all_256_states,0,1,65,1,0,exact frozen state-major policy lookup
67,all_256_states,0,1,66,1,0,exact frozen state-major policy lookup
68,all_256_states,0,1,67,1,0,exact frozen state-major policy lookup
69,all_256_states,0,1,68,1,0,exact frozen state-major policy lookup
70,all_256_states,0,1,69,1,0,exact frozen state-major policy lookup
71,all_256_states,0,1,70,1,0,exact frozen state-major policy lookup
72,all_256_states,0,1,71,1,0,exact frozen state-major policy lookup
73,all_256_states,0,1,72,1,0,exact frozen state-major policy lookup
74,all_256_states,0,1,73,1,0,exact frozen state-major policy lookup
75,all_256_states,0,1,74,1,0,exact frozen state-major policy lookup
76,all_256_states,0,1,75,1,0,exact frozen state-major policy lookup
77,all_256_states,0,1,76,1,0,exact frozen state-major policy lookup
78,all_256_states,0,1,77,1,0,exact frozen state-major policy lookup
79,all_256_states,0,1,78,1,0,exact frozen state-major policy lookup
80,all_256_states,0,1,79,1,0,exact frozen state-major policy lookup
81,all_256_states,0,1,80,1,1,exact frozen state-major policy lookup
82,all_256_states,0,1,81,1,2,exact frozen state-major policy lookup
83,all_256_states,0,1,82,1,2,exact frozen state-major policy lookup
84,all_256_states,0,1,83,1,2,exact frozen state-major policy lookup
85,all_256_states,0,1,84,1,1,exact frozen state-major policy lookup
86,all_256_states,0,1,85,1,2,exact frozen state-major policy lookup
87,all_256_states,0,1,86,1,2,exact frozen state-major policy lookup
88,all_256_states,0,1,87,1,2,exact frozen state-major policy lookup
89,all_256_states,0,1,88,1,2,exact frozen state-major policy lookup
90,all_256_states,0,1,89,1,2,exact frozen state-major policy lookup
91,all_256_states,0,1,90,1,2,exact frozen state-major policy lookup
92,all_256_states,0,1,91,1,2,exact frozen state-major policy lookup
93,all_256_states,0,1,92,1,2,exact frozen state-major policy lookup
94,all_256_states,0,1,93,1,2,exact frozen state-major policy lookup
95,all_256_states,0,1,94,1,2,exact frozen state-major policy lookup
96,all_256_states,0,1,95,1,0,exact frozen state-major policy lookup
97,all_256_states,0,1,96,1,2,exact frozen state-major policy lookup
98,all_256_states,0,1,97,1,0,exact frozen state-major policy lookup
99,all_256_states,0,1,98,1,0,exact frozen state-major policy lookup
100,all_256_states,0,1,99,1,0,exact frozen state-major policy lookup
101,all_256_states,0,1,100,1,1,exact frozen state-major policy lookup
102,all_256_states,0,1,101,1,0,exact frozen state-major policy lookup
103,all_256_states,0,1,102,1,0,exact frozen state-major policy lookup
104,all_256_states,0,1,103,1,0,exact frozen state-major policy lookup
105,all_256_states,0,1,104,1,3,exact frozen state-major policy lookup
106,all_256_states,0,1,105,1,0,exact frozen state-major policy lookup
107,all_256_states,0,1,106,1,0,exact frozen state-major policy lookup
108,all_256_states,0,1,107,1,0,exact frozen state-major policy lookup
109,all_256_states,0,1,108,1,3,exact frozen state-major policy lookup
110,all_256_states,0,1,109,1,0,exact frozen state-major policy lookup
111,all_256_states,0,1,110,1,0,exact frozen state-major policy lookup
112,all_256_states,0,1,111,1,0,exact frozen state-major policy lookup
113,all_256_states,0,1,112,1,0,exact frozen state-major policy lookup
114,all_256_states,0,1,113,1,1,exact frozen state-major policy lookup
115,all_256_states,0,1,114,1,2,exact frozen state-major policy lookup
116,all_256_states,0,1,115,1,2,exact frozen state-major policy lookup
117,all_256_states,0,1,116,1,0,exact frozen state-major policy lookup
118,all_256_states,0,1,117,1,1,exact frozen state-major policy lookup
119,all_256_states,0,1,118,1,0,exact frozen state-major policy lookup
120,all_256_states,0,1,119,1,0,exact frozen state-major policy lookup
121,all_256_states,0,1,120,1,0,exact frozen state-major policy lookup
122,all_256_states,0,1,121,1,0,exact frozen state-major policy lookup
123,all_256_states,0,1,122,1,2,exact frozen state-major policy lookup
124,all_256_states,0,1,123,1,1,exact frozen state-major policy lookup
125,all_256_states,0,1,124,1,0,exact frozen state-major policy lookup
126,all_256_states,0,1,125,1,2,exact frozen state-major policy lookup
127,all_256_states,0,1,126,1,3,exact frozen state-major policy lookup
128,all_256_states,0,1,127,1,3,exact frozen state-major policy lookup
129,all_256_states,0,1,128,1,0,exact frozen state-major policy lookup
130,all_256_states,0,1,129,1,0,exact frozen state-major policy lookup
131,all_256_states,0,1,130,1,0,exact frozen state-major policy lookup
132,all_256_states,0,1,131,1,0,exact frozen state-major policy lookup
133,all_256_states,0,1,132,1,0,exact frozen state-major policy lookup
134,all_256_states,0,1,133,1,0,exact frozen state-major policy lookup
135,all_256_states,0,1,134,1,0,exact frozen state-major policy lookup
136,all_256_states,0,1,135,1,0,exact frozen state-major policy lookup
137,all_256_states,0,1,136,1,0,exact frozen state-major policy lookup
138,all_256_states,0,1,137,1,0,exact frozen state-major policy lookup
139,all_256_states,0,1,138,1,0,exact frozen state-major policy lookup
140,all_256_states,0,1,139,1,0,exact frozen state-major policy lookup
141,all_256_states,0,1,140,1,0,exact frozen state-major policy lookup
142,all_256_states,0,1,141,1,0,exact frozen state-major policy lookup
143,all_256_states,0,1,142,1,0,exact frozen state-major policy lookup
144,all_256_states,0,1,143,1,0,exact frozen state-major policy lookup
145,all_256_states,0,1,144,1,3,exact frozen state-major policy lookup
